State/UnionTerritory,Cured,Deaths,Confirmed
Bihar,0,1,3
Chhattisgarh,0,0,1
Delhi,6,1,30
Gujarat,0,1,33
Haryana,11,0,28
Himachal Pradesh,0,1,3
Karnataka,3,1,37
Kerala,4,0,95
Madhya Pradesh,0,0,7
Maharashtra,0,2,89
Manipur,0,0,1
Odisha,0,0,2
Puducherry,0,0,1
Punjab,0,1,29
Rajasthan,3,0,32
Tamil Nadu,1,0,15
Telangana,1,0,35
Chandigarh,0,0,7
Jammu and Kashmir,0,0,4
Ladakh,0,0,13
Uttar Pradesh,11,0,33
Uttarakhand,0,0,4
West Bengal,0,1,9
Andhra Pradesh,1,0,9
Bihar,0,1,4
Chhattisgarh,0,0,1
Delhi,6,1,31
Gujarat,0,1,38
Haryana,11,0,28
Himachal Pradesh,0,1,3
Karnataka,3,1,41
Kerala,4,0,109
Madhya Pradesh,0,0,14
Maharashtra,1,3,128
Manipur,0,0,1
Mizoram,0,0,1
Odisha,0,0,2
Puducherry,0,0,1
Punjab,0,1,29
Rajasthan,3,0,36
Tamil Nadu,1,0,18
Telangana,1,0,35
Chandigarh,0,0,7
Jammu and Kashmir,1,0,7
Ladakh,0,0,13
Uttar Pradesh,11,0,37
Uttarakhand,0,0,4
West Bengal,0,1,9
Andaman and Nicobar Islands,0,0,1
Andhra Pradesh,1,0,11
Bihar,0,1,6
Chandigarh,0,0,7
Chhattisgarh,0,0,6
Delhi,6,1,36
Goa,0,0,3
Gujarat,0,3,43
Haryana,11,0,30
Himachal Pradesh,0,1,3
Jammu and Kashmir,1,0,13
Karnataka,3,2,55
Kerala,6,0,118
Ladakh,0,0,13
Madhya Pradesh,0,1,20
Maharashtra,1,3,124
Manipur,0,0,1
Mizoram,0,0,1
Odisha,0,0,2
Puducherry,0,0,1
Punjab,0,1,33
Rajasthan,3,0,41
Tamil Nadu,1,1,26
Telangana,1,0,44
Uttarakhand,0,0,5
Uttar Pradesh,11,0,41
West Bengal,0,1,10
Andaman and Nicobar Islands,0,0,1
Andhra Pradesh,1,0,12
Bihar,0,1,6
Chandigarh,0,0,7
Chhattisgarh,0,0,6
Delhi,6,1,36
Goa,0,0,3
Gujarat,0,3,43
Haryana,11,0,30
Himachal Pradesh,0,1,3
Jammu and Kashmir,1,1,13
Karnataka,3,2,55
Kerala,11,0,137
Ladakh,3,0,13
Madhya Pradesh,0,1,20
Maharashtra,15,4,130
Manipur,0,0,1
Mizoram,0,0,1
Odisha,0,0,2
Puducherry,0,0,1
Punjab,0,1,33
Rajasthan,3,0,41
Tamil Nadu,1,1,29
Telangana,1,0,45
Uttarakhand,0,0,5
Uttar Pradesh,11,0,41
West Bengal,0,1,10
Andhra Pradesh,1,0,14
Andaman and Nicobar Islands,0,0,6
Bihar,0,1,9
Chandigarh,0,0,8
Chhattisgarh,0,0,6
Delhi,6,1,39
Goa,0,0,3
Gujarat,0,3,45
Haryana,12,0,33
Himachal Pradesh,0,1,3
Jammu and Kashmir,1,1,20
Karnataka,3,2,55
Kerala,11,0,176
Ladakh,3,0,13
Madhya Pradesh,0,2,30
Maharashtra,25,5,180
Manipur,0,0,1
Mizoram,0,0,1
Odisha,0,0,3
Puducherry,0,0,1
Punjab,1,1,38
Rajasthan,3,0,54
Tamil Nadu,2,1,40
Telangana,1,0,56
Uttarakhand,0,0,5
Uttar Pradesh,11,0,55
West Bengal,0,1,15
Andhra Pradesh,1,0,19
Andaman and Nicobar Islands,0,0,9
Bihar,0,1,11
Chandigarh,0,0,8
Chhattisgarh,0,0,7
Delhi,6,2,49
Goa,0,0,5
Gujarat,1,5,58
Haryana,17,0,33
Himachal Pradesh,0,1,3
Jammu and Kashmir,1,2,31
Karnataka,5,3,76
Kerala,15,1,182
Ladakh,3,0,13
Madhya Pradesh,0,2,30
Maharashtra,25,6,186
Manipur,0,0,1
Mizoram,0,0,1
Odisha,0,0,3
Puducherry,0,0,1
Punjab,1,1,38
Rajasthan,3,0,55
Tamil Nadu,4,1,49
Telangana,1,1,66
Uttarakhand,2,0,7
Uttar Pradesh,11,0,65
West Bengal,0,1,18
Andhra Pradesh,1,0,23
Andaman and Nicobar Islands,0,0,9
Bihar,0,1,15
Chandigarh,0,0,8
Chhattisgarh,0,0,7
Delhi,6,2,87
Goa,0,0,5
Gujarat,1,6,69
Haryana,18,0,36
Himachal Pradesh,0,1,3
Jammu and Kashmir,2,2,48
Karnataka,5,3,83
Kerala,19,1,202
Ladakh,3,0,13
Madhya Pradesh,0,3,47
Maharashtra,25,8,198
Manipur,0,0,1
Mizoram,0,0,1
Odisha,0,0,3
Puducherry,0,0,1
Punjab,1,1,38
Rajasthan,3,0,59
Tamil Nadu,4,1,67
Telangana,1,1,71
Uttarakhand,2,0,7
Uttar Pradesh,11,0,82
West Bengal,0,1,22
Unassigned,0,0,46
Andhra Pradesh,1,0,40
Andaman and Nicobar Islands,0,0,10
Bihar,0,1,15
Chandigarh,0,0,13
Chhattisgarh,0,0,8
Delhi,6,2,97
Goa,0,0,5
Gujarat,3,6,73
Haryana,21,0,40
Himachal Pradesh,0,1,3
Jammu and Kashmir,2,2,54
Karnataka,5,3,83
Kerala,19,1,234
Ladakh,3,0,13
Madhya Pradesh,0,3,47
Maharashtra,39,9,216
Manipur,0,0,1
Mizoram,0,0,1
Odisha,0,0,3
Puducherry,0,0,1
Punjab,1,3,41
Rajasthan,3,0,74
Tamil Nadu,4,1,74
Telangana,1,1,79
Uttarakhand,2,0,7
Uttar Pradesh,14,0,101
West Bengal,0,2,26
Unassigned,0,0,38
Andhra Pradesh,1,0,83
Andaman and Nicobar Islands,0,0,10
Assam,0,0,1
Bihar,0,1,23
Chandigarh,0,0,16
Chhattisgarh,2,0,9
Delhi,6,2,152
Goa,0,0,5
Gujarat,5,6,82
Haryana,21,0,43
Himachal Pradesh,0,1,3
Jammu and Kashmir,2,2,62
Jharkhand,0,0,1
Karnataka,8,3,101
Kerala,23,2,241
Ladakh,3,0,13
Madhya Pradesh,0,3,66
Maharashtra,39,9,302
Manipur,0,0,1
Mizoram,0,0,1
Odisha,0,0,4
Puducherry,1,0,3
Punjab,1,3,42
Rajasthan,3,0,93
Tamil Nadu,6,1,234
Telangana,1,3,96
Uttarakhand,2,0,7
Uttar Pradesh,14,2,103
West Bengal,6,3,37
Andhra Pradesh,1,1,86
Andaman and Nicobar Islands,0,0,10
Assam,0,0,5
Bihar,0,1,24
Chandigarh,0,0,16
Chhattisgarh,2,0,9
Delhi,8,4,219
Goa,0,0,5
Gujarat,8,7,87
Haryana,21,0,43
Himachal Pradesh,1,1,3
Jammu and Kashmir,2,2,62
Jharkhand,0,0,1
Karnataka,9,3,110
Kerala,25,2,265
Ladakh,3,0,13
Madhya Pradesh,0,6,99
Maharashtra,42,13,335
Manipur,0,0,1
Mizoram,0,0,1
Odisha,0,0,4
Puducherry,1,0,3
Punjab,1,4,46
Rajasthan,3,0,108
Tamil Nadu,6,1,234
Telangana,1,3,107
Uttarakhand,2,0,7
Uttar Pradesh,14,2,113
West Bengal,6,3,53
Andhra Pradesh,1,1,132
Andaman and Nicobar Islands,0,0,10
Arunachal Pradesh,0,0,1
Assam,0,0,16
Bihar,0,1,29
Chandigarh,0,0,18
Chhattisgarh,3,0,9
Delhi,8,4,219
Goa,0,0,6
Gujarat,10,8,95
Haryana,24,0,49
Himachal Pradesh,1,1,6
Jammu and Kashmir,3,2,75
Jharkhand,0,0,2
Karnataka,10,3,124
Kerala,27,2,286
Ladakh,3,0,14
Madhya Pradesh,0,6,104
Maharashtra,42,16,335
Manipur,0,0,2
Mizoram,0,0,1
Odisha,0,0,5
Puducherry,1,0,5
Punjab,1,5,48
Rajasthan,3,0,167
Tamil Nadu,6,1,309
Telangana,1,7,158
Uttarakhand,2,0,10
Uttar Pradesh,14,2,172
West Bengal,3,3,63
Unassigned,0,0,77
Andhra Pradesh,1,1,161
Andaman and Nicobar Islands,0,0,10
Arunachal Pradesh,0,0,1
Assam,0,0,24
Bihar,0,1,30
Chandigarh,0,0,18
Chhattisgarh,3,0,9
Delhi,15,6,445
Goa,0,0,7
Gujarat,14,10,105
Haryana,24,0,49
Himachal Pradesh,1,1,6
Jammu and Kashmir,3,2,75
Jharkhand,0,0,2
Karnataka,12,3,128
Kerala,41,2,295
Ladakh,3,0,14
Madhya Pradesh,0,6,104
Maharashtra,42,24,490
Manipur,0,0,2
Mizoram,0,0,1
Odisha,0,0,5
Puducherry,1,0,5
Punjab,1,5,57
Rajasthan,21,0,200
Tamil Nadu,6,2,411
Telangana,1,7,159
Uttarakhand,2,0,16
Uttar Pradesh,19,2,174
West Bengal,3,3,69
Andhra Pradesh,1,1,190
Andaman and Nicobar Islands,0,0,10
Arunachal Pradesh,0,0,1
Assam,0,0,26
Bihar,0,1,30
Chandigarh,0,0,18
Chhattisgarh,3,0,9
Delhi,18,7,503
Goa,0,0,7
Gujarat,18,11,122
Haryana,25,1,59
Himachal Pradesh,1,1,6
Jammu and Kashmir,4,2,106
Jharkhand,0,0,3
Karnataka,12,4,144
Kerala,49,2,306
Ladakh,10,0,14
Madhya Pradesh,0,9,165
Maharashtra,42,24,490
Manipur,0,0,2
Mizoram,0,0,1
Odisha,0,0,20
Puducherry,1,0,5
Punjab,1,5,57
Rajasthan,21,0,200
Tamil Nadu,6,3,485
Telangana,32,7,269
Uttarakhand,2,0,22
Uttar Pradesh,19,2,227
West Bengal,10,3,80
Andhra Pradesh,1,3,226
Andaman and Nicobar Islands,0,0,10
Arunachal Pradesh,0,0,1
Assam,0,0,26
Bihar,0,1,32
Chandigarh,0,0,18
Chhattisgarh,8,0,10
Delhi,19,7,523
Goa,0,0,7
Gujarat,22,12,144
Haryana,25,1,84
Himachal Pradesh,2,1,13
Jammu and Kashmir,4,2,109
Jharkhand,0,0,4
Karnataka,12,4,151
Kerala,55,2,314
Ladakh,10,0,14
Madhya Pradesh,0,9,165
Maharashtra,56,45,748
Manipur,0,0,2
Mizoram,0,0,1
Odisha,2,0,21
Puducherry,1,0,5
Punjab,4,6,76
Rajasthan,21,0,274
Tamil Nadu,8,5,571
Telangana,34,7,321
Uttarakhand,4,0,26
Uttar Pradesh,21,3,305
West Bengal,10,3,80
Andhra Pradesh,1,3,266
Andaman and Nicobar Islands,0,0,10
Arunachal Pradesh,0,0,1
Assam,0,0,26
Bihar,0,1,32
Chandigarh,7,0,18
Chhattisgarh,9,0,10
Delhi,21,7,576
Goa,0,0,7
Gujarat,25,13,165
Haryana,25,1,90
Himachal Pradesh,2,1,13
Jammu and Kashmir,4,2,116
Jharkhand,0,0,4
Karnataka,25,4,175
Kerala,58,2,327
Ladakh,10,0,14
Madhya Pradesh,0,13,229
Maharashtra,56,48,868
Manipur,0,0,2
Mizoram,0,0,1
Odisha,2,1,42
Puducherry,1,0,5
Punjab,4,7,91
Rajasthan,21,3,288
Tamil Nadu,8,5,621
Telangana,35,7,364
Tripura,0,0,1
Uttarakhand,5,0,31
Uttar Pradesh,21,3,305
West Bengal,13,3,91
Andhra Pradesh,5,4,305
Andaman and Nicobar Islands,0,0,10
Arunachal Pradesh,0,0,1
Assam,0,0,27
Bihar,0,1,38
Chandigarh,7,0,18
Chhattisgarh,9,0,10
Delhi,21,9,576
Goa,0,0,7
Gujarat,25,13,165
Haryana,28,3,147
Himachal Pradesh,2,1,18
Jammu and Kashmir,4,2,116
Jharkhand,0,0,4
Karnataka,25,4,175
Kerala,70,2,336
Ladakh,10,0,14
Madhya Pradesh,0,13,229
Maharashtra,79,64,1018
Manipur,0,0,2
Mizoram,0,0,1
Odisha,2,1,42
Puducherry,1,0,5
Punjab,4,7,91
Rajasthan,21,3,328
Tamil Nadu,19,7,690
Telangana,35,7,427
Tripura,0,0,1
Uttarakhand,5,0,31
Uttar Pradesh,26,3,343
West Bengal,13,5,99
Andhra Pradesh,6,4,348
Andaman and Nicobar Islands,0,0,11
Arunachal Pradesh,0,0,1
Assam,0,0,28
Bihar,0,1,39
Chandigarh,7,0,18
Chhattisgarh,9,0,10
Delhi,21,9,669
Goa,0,0,7
Gujarat,25,16,179
Haryana,29,3,169
Himachal Pradesh,2,1,18
Jammu and Kashmir,4,4,158
Jharkhand,0,0,13
Karnataka,28,5,181
Kerala,83,2,345
Ladakh,10,0,14
Madhya Pradesh,0,16,259
Maharashtra,117,72,1135
Manipur,1,0,2
Mizoram,0,0,1
Odisha,2,1,42
Puducherry,1,0,5
Punjab,4,8,101
Rajasthan,21,3,383
Tamil Nadu,21,8,738
Telangana,35,7,442
Tripura,0,0,1
Uttarakhand,5,0,35
Uttar Pradesh,31,4,410
West Bengal,16,5,103
Andhra Pradesh,7,6,363
Andaman and Nicobar Islands,0,0,11
Arunachal Pradesh,0,0,1
Assam,0,0,29
Bihar,0,1,60
Chandigarh,7,0,18
Chhattisgarh,9,0,10
Delhi,25,13,898
Goa,1,0,7
Gujarat,26,17,241
Haryana,29,3,169
Himachal Pradesh,6,1,28
Jammu and Kashmir,6,4,184
Jharkhand,0,1,13
Karnataka,30,6,197
Kerala,96,2,357
Ladakh,10,0,15
Madhya Pradesh,0,16,259
Maharashtra,125,97,1364
Manipur,1,0,2
Mizoram,0,0,1
Odisha,2,1,44
Puducherry,1,0,5
Punjab,5,11,132
Rajasthan,21,3,463
Tamil Nadu,21,8,834
Telangana,35,7,473
Tripura,0,0,1
Uttarakhand,5,0,35
Uttar Pradesh,32,4,431
West Bengal,16,5,116
Andhra Pradesh,11,6,381
Andaman and Nicobar Islands,0,0,11
Arunachal Pradesh,0,0,1
Assam,0,1,29
Bihar,0,1,60
Chandigarh,7,0,18
Chhattisgarh,9,0,18
Delhi,25,14,903
Goa,1,0,7
Gujarat,31,19,308
Haryana,29,3,177
Himachal Pradesh,6,1,28
Jammu and Kashmir,6,4,207
Jharkhand,0,1,17
Karnataka,37,6,214
Kerala,123,2,364
Ladakh,10,0,15
Madhya Pradesh,0,33,443
Maharashtra,188,110,1574
Manipur,1,0,2
Mizoram,0,0,1
Odisha,2,1,48
Puducherry,1,0,7
Punjab,5,11,132
Rajasthan,21,3,553
Tamil Nadu,44,8,911
Telangana,43,9,504
Tripura,0,0,2
Uttarakhand,5,0,35
Uttar Pradesh,32,4,433
West Bengal,16,5,126
Andhra Pradesh,11,6,381
Andaman and Nicobar Islands,10,0,11
Arunachal Pradesh,0,0,1
Assam,0,1,29
Bihar,19,1,64
Chandigarh,7,0,19
Chhattisgarh,10,0,25
Delhi,25,19,1069
Goa,5,0,7
Gujarat,44,22,432
Haryana,29,3,185
Himachal Pradesh,6,1,32
Jammu and Kashmir,6,4,224
Jharkhand,0,1,17
Karnataka,37,6,226
Kerala,142,2,374
Ladakh,10,0,15
Madhya Pradesh,0,36,564
Maharashtra,208,127,1761
Manipur,1,0,2
Mizoram,0,0,1
Odisha,12,1,54
Puducherry,1,0,7
Punjab,5,11,151
Rajasthan,21,3,700
Tamil Nadu,44,10,969
Telangana,43,9,504
Tripura,0,0,2
Uttarakhand,5,0,35
Uttar Pradesh,45,5,452
West Bengal,19,5,134
Andhra Pradesh,11,7,432
Andaman and Nicobar Islands,10,0,11
Arunachal Pradesh,0,0,1
Assam,0,1,31
Bihar,26,1,64
Chandigarh,7,0,21
Chhattisgarh,10,0,31
Delhi,27,24,1154
Goa,5,0,7
Gujarat,47,26,539
Haryana,29,3,185
Himachal Pradesh,13,1,32
Jammu and Kashmir,6,4,245
Jharkhand,0,2,19
Karnataka,59,6,247
Kerala,179,3,376
Ladakh,10,0,15
Madhya Pradesh,44,43,604
Maharashtra,217,149,1985
Manipur,1,0,2
Mizoram,0,0,1
Nagaland,0,0,1
Odisha,12,1,54
Puducherry,1,0,7
Punjab,14,11,167
Rajasthan,21,3,812
Tamil Nadu,50,11,1075
Telangana,100,16,562
Tripura,0,0,2
Uttarakhand,5,0,35
Uttar Pradesh,47,5,483
West Bengal,29,7,152
Andhra Pradesh,14,9,473
Andaman and Nicobar Islands,10,0,11
Arunachal Pradesh,0,0,1
Assam,0,1,31
Bihar,26,1,66
Chandigarh,7,0,21
Chhattisgarh,10,0,31
Delhi,30,28,1510
Goa,5,0,7
Gujarat,55,26,617
Haryana,34,3,199
Himachal Pradesh,13,1,32
Jammu and Kashmir,16,4,270
Jharkhand,0,2,24
Karnataka,65,9,258
Kerala,198,3,379
Ladakh,10,0,15
Madhya Pradesh,51,50,730
Maharashtra,229,160,2337
Manipur,1,0,2
Meghalaya,0,0,1
Mizoram,0,0,1
Nagaland,0,0,1
Odisha,18,1,55
Puducherry,1,0,7
Punjab,14,12,176
Rajasthan,133,3,879
Tamil Nadu,58,11,1173
Telangana,100,17,624
Tripura,0,0,2
Uttarakhand,7,0,35
Uttar Pradesh,49,5,657
West Bengal,36,7,190
Andaman and Nicobar Islands,10,0,11
Andhra Pradesh,16,9,503
Arunachal Pradesh,0,0,1
Assam,0,1,33
Bihar,29,1,70
Chandigarh,7,0,21
Chhattisgarh,13,0,33
Delhi,30,30,1561
Goa,5,0,7
Gujarat,59,30,695
Haryana,34,3,199
Himachal Pradesh,13,1,33
Jammu and Kashmir,30,4,278
Jharkhand,0,2,27
Karnataka,75,11,277
Kerala,211,3,387
Ladakh,10,0,17
Madhya Pradesh,64,53,987
Maharashtra,259,178,2687
Manipur,1,0,2
Meghalaya,0,1,7
Mizoram,0,0,1
Nagaland,0,0,0
Odisha,18,1,60
Puducherry,1,0,7
Punjab,14,13,186
Rajasthan,147,3,1005
Tamil Nadu,81,12,1204
Telangana,120,18,647
Tripura,0,0,2
Uttarakhand,9,0,37
Uttar Pradesh,51,11,735
West Bengal,37,7,213
Andaman and Nicobar Islands,10,0,11
Andhra Pradesh,20,14,534
Arunachal Pradesh,0,0,1
Assam,5,1,33
Bihar,29,1,74
Chandigarh,7,0,21
Chhattisgarh,17,0,33
Delhi,42,32,1578
Goa,5,0,7
Gujarat,64,36,871
Haryana,43,3,205
Himachal Pradesh,16,1,35
Jammu and Kashmir,36,4,300
Jharkhand,0,2,28
Karnataka,82,13,315
Kerala,218,3,388
Ladakh,10,0,17
Madhya Pradesh,64,53,1120
Maharashtra,295,187,2919
Manipur,1,0,2
Meghalaya,0,1,7
Mizoram,0,0,1
Nagaland,0,0,0
Odisha,18,1,60
Puducherry,1,0,7
Punjab,27,13,186
Rajasthan,147,3,1023
Tamil Nadu,118,14,1242
Telangana,120,18,698
Tripura,1,0,2
Uttarakhand,9,0,37
Uttar Pradesh,68,13,773
West Bengal,42,7,231
Andaman and Nicobar Islands,10,0,11
Andhra Pradesh,36,14,572
Arunachal Pradesh,0,0,1
Assam,5,1,35
Bihar,37,1,83
Chandigarh,9,0,21
Chhattisgarh,23,0,36
Delhi,51,38,1640
Goa,6,0,7
Gujarat,74,38,1021
Haryana,43,3,205
Himachal Pradesh,16,1,35
Jammu and Kashmir,38,4,314
Jharkhand,0,2,29
Karnataka,82,13,353
Kerala,245,3,395
Ladakh,14,0,18
Madhya Pradesh,65,57,1308
Maharashtra,300,194,3205
Manipur,1,0,2
Meghalaya,0,1,9
Mizoram,0,0,1
Nagaland,0,0,0
Odisha,19,1,60
Puducherry,1,0,7
Punjab,27,13,186
Rajasthan,164,11,1131
Tamil Nadu,180,15,1267
Telangana,186,18,743
Tripura,1,0,2
Uttarakhand,9,0,37
Uttar Pradesh,74,14,846
West Bengal,51,10,255
Andaman and Nicobar Islands,11,0,12
Andhra Pradesh,42,15,603
Arunachal Pradesh,0,0,1
Assam,9,1,35
Bihar,37,2,85
Chandigarh,9,0,21
Chhattisgarh,24,0,36
Delhi,72,42,1707
Goa,6,0,7
Gujarat,88,48,1272
Haryana,43,3,225
Himachal Pradesh,16,1,38
Jammu and Kashmir,42,5,328
Jharkhand,0,2,33
Karnataka,92,13,371
Kerala,255,3,396
Ladakh,14,0,18
